epoch,train_loss,val_loss,val_f1,val_auc
1,0.0329790110276504,0.015906501789280075,0.05801488207844621,0.5845859742545257
2,0.014632413858537845,0.008547728227332551,0.12582850707850707,0.8055333566509627
3,0.009415963665896001,0.005799660280822439,0.26117534062032427,0.9324729028939545
4,0.006713616118248412,0.004204068020818398,0.4968629166245992,0.9536360584560531
5,0.004719619613071097,0.0028365498923874914,0.7688346063642099,0.9854474027868962
6,0.0035135256905322845,0.0022672564422890067,0.8744063340292699,0.9903373285750648
7,0.0026402617375152235,0.0019888537174259173,0.8863006731116844,0.9942154751948384
8,0.0023418702381254636,0.001802366644272858,0.9143225096777585,0.9935587310062447
9,0.002070955195050826,0.0017049769961344514,0.9242944613176645,0.9954221898719104
10,0.001973029600056685,0.0016806975930949,0.9244235546340852,0.9953510419709148
